NODES
id,nombre,tipo,lat,lon,is_setp
N00,UAJS Sede E,universidad,9.299179325151316,-75.39237521708445,false
N01,UAJS Sede C,universidad,9.29612335332326,-75.3922469305755,false
N02,UNISUCRE,universidad,9.315295113695736,-75.38846390448582,false
N03,CECAR,universidad,9.308906702897985,-75.36748547799893,false
N04,IPS SEYSA,salud,9.29738118499884,-75.39515920448596,false
N05,Clinica Las Americas,salud,9.301759037716128,-75.4034279286105,false
N06,Hospital Universitario,salud,9.30440790749295,-75.39991527750439,false
N07,Estacion Central SETP,setp,9.3015,-75.3930,true
N08,Terminal de Transporte,movilidad,9.29577233761567,-75.38334291983155,false
N09,PEP Argelia,setp,9.3105,-75.3835,true
N10,PEP La Bastilla,setp,9.3078,-75.3890,true
N11,PEP Los Libertadores,setp,9.3028,-75.3875,true
N12,PEP Las Colinas,setp,9.2989,-75.3905,true
N13,Av. Alfonso Lopez,movilidad,9.292151575748628,-75.39545550448595,false
N14,Calle 30 Troncal,movilidad,9.2965,-75.3870,false
N15,Glorieta Sincelejito,setp,9.303228131104879,-75.37600637564955,true
N16,Parque Santander,comercio,9.303240923146321,-75.39453680359343,false
N17,Mercado de Sincelejo,comercio,9.3012,-75.3928,false
N18,Barrio Puerta Roja,comercio,9.336954241516,-75.37964841140828,false
N19,El Pescador,comercio,9.311277305621832,-75.41287462034406,false

EDGES
origen,destino,tiempo_min,capacidad,bidireccional,is_setp
N00,N01,8,0,true,false
N00,N18,6,200,true,false
N01,N02,5,0,true,false
N01,N07,6,300,true,true
N01,N13,4,460,true,false
N02,N03,7,260,true,false
N02,N10,8,300,true,true
N02,N15,8,320,true,true
N03,N09,5,280,true,true
N03,N15,5,300,true,true
N04,N05,4,200,true,false
N04,N13,4,220,true,false
N05,N06,6,180,true,false
N05,N13,3,200,true,false
N06,N07,6,280,true,false
N06,N08,16,460,true,false
N07,N08,10,600,true,true
N07,N11,5,500,true,true
N07,N12,6,480,true,true
N07,N15,4,580,true,true
N07,N16,3,600,true,true
N07,N17,5,550,true,true
N08,N14,5,350,true,false
N08,N19,7,300,true,false
N09,N15,7,260,true,true
N10,N13,4,270,true,true
N10,N18,6,240,true,false
N11,N12,4,400,true,true
N11,N16,4,420,true,true
N12,N17,5,380,true,true
N13,N06,5,300,true,false
N14,N19,5,280,true,false
N15,N16,6,320,true,true
N17,N19,5,260,true,false
